EntryDate,ExitDate,Asset,Direction,EntryPrice,ExitPrice,StopLoss,Target,PositionSize,Contracts,GrossPnL,TransactionCost,NetPnL
2015-01-15,2015-01-15,6B,Bearish,1.5228,1.5162037229999998,1.525118,1.5154459999999998,1.0,1.0,412.2673125000059,7.0,405.2673125000059
2015-01-16,2015-01-16,6B,Bearish,1.5174,1.5102742597500003,1.5198935,1.5095195000000003,1.0,1.0,445.35876562498686,7.0,438.35876562498686
2015-02-04,2015-02-04,6B,Bearish,1.5139,1.517642442,1.5168840000000001,1.5045479999999998,1.0,1.0,-233.90262500000426,7.0,-240.90262500000426
2015-03-08,2015-03-08,6B,Bearish,1.5042,1.5059355915,1.505183,1.4987255,1.0,1.0,-108.47446874999444,7.0,-115.47446874999444
2015-03-10,2015-03-10,6B,Bearish,1.5107,1.5037464975,1.513135,1.502995,1.0,1.0,434.5939062500026,7.0,427.5939062500026
2015-03-19,2015-03-19,6B,Bearish,1.4952,1.4862452512500002,1.4984325,1.4855025000000002,1.0,1.0,559.6717968749942,7.0,552.6717968749942
2015-03-20,2015-03-20,6B,Bearish,1.475,1.4797374989999998,1.478998,1.4638060000000002,1.0,1.0,-296.09368749998475,7.0,-303.09368749998475
2015-04-15,2015-04-15,6B,Bearish,1.4764,1.4805404002499998,1.4798004999999999,1.4661985000000002,1.0,1.0,-258.77501562499015,7.0,-265.77501562499015
2015-05-01,2015-05-01,6B,Bullish,1.5349,1.5304853745,1.531251,1.5466469999999999,1.0,1.0,-275.91409374999597,7.0,-282.91409374999597
2015-05-03,2015-05-05,6B,Bearish,1.5139,1.51811717925,1.5173585,1.5015245000000002,1.0,1.0,-263.5737031249918,7.0,-270.5737031249918
2015-06-11,2015-06-12,6B,Bearish,1.5501,1.5546569399999999,1.55388,1.5387600000000003,1.0,1.0,-284.80874999999014,7.0,-291.80874999999014
2015-06-30,2015-06-30,6B,Bearish,1.5719,1.5758645385,1.575077,1.5623690000000001,1.0,1.0,-247.7836562500002,7.0,-254.7836562500002
2015-08-02,2015-08-03,6B,Bearish,1.5623,1.5648145162499998,1.5640325,1.5523025,1.0,1.0,-157.15726562498534,7.0,-164.15726562498534
2015-08-06,2015-08-06,6B,Bearish,1.56,1.552449837,1.562642,1.551674,1.0,1.0,471.8851875000068,7.0,464.8851875000068
2015-08-09,2015-08-10,6B,Bearish,1.5487,1.5525148695,1.551739,1.5419,1.0,1.0,-238.429343749999,7.0,-245.429343749999
2015-08-27,2015-08-27,6B,Bearish,1.5477,1.54267095,1.5505875,1.5419,1.0,1.0,314.31562500000564,7.0,307.31562500000564
2015-09-09,2015-09-10,6B,Bearish,1.5395,1.5433818052500001,1.5426105,1.5305685,1.0,1.0,-242.61282812500227,7.0,-249.61282812500227
2015-09-10,2015-09-10,6B,Bearish,1.5356,1.5398085195,1.539039,1.5256830000000001,1.0,1.0,-263.0324687499935,7.0,-270.0324687499935
2015-09-11,2015-09-15,6B,Bearish,1.544,1.5350156242499997,1.5472505,1.5342485,1.0,1.0,561.5234843750205,7.0,554.5234843750205
2015-10-14,2015-10-14,6B,Bullish,1.525,1.5320365985000002,1.5223989999999998,1.5328030000000001,1.0,1.0,439.7874062500168,7.0,432.7874062500168
2015-10-23,2015-10-23,6B,Bearish,1.538,1.54143583275,1.5406655,1.5300035,1.0,1.0,-214.73954687499517,7.0,-221.73954687499517
2015-12-03,2015-12-03,6B,Bearish,1.4945,1.49752788975,1.4967795,1.4893,1.0,1.0,-189.24310937500078,7.0,-196.24310937500078
2015-12-04,2015-12-04,6B,Bearish,1.5134,1.51638431325,1.5156265,1.5063205000000004,1.0,1.0,-186.5195781249884,7.0,-193.5195781249884
2015-12-16,2015-12-16,6B,Bearish,1.5046,1.4972797657499999,1.5072895,1.4965315,1.0,1.0,457.51464062500355,7.0,450.51464062500355
2015-12-17,2015-12-17,6B,Bearish,1.4979,1.49004465,1.5006085,1.4893,1.0,1.0,490.9593750000024,7.0,483.9593750000024
2016-01-08,2016-01-08,6B,Bearish,1.4622,1.4556024374999998,1.464775,1.454875,1.0,1.0,412.3476562500061,7.0,405.3476562500061
2016-01-13,2016-01-13,6B,Bearish,1.4437,1.4467995382499999,1.4460765,1.4361705,1.0,1.0,-193.72114062499168,7.0,-200.72114062499168
2016-01-14,2016-01-14,6B,Bearish,1.441,1.44427927875,1.4435575,1.4353,1.0,1.0,-204.9549218750002,7.0,-211.9549218750002
2016-01-17,2016-01-18,6B,Bearish,1.4261,1.4289291075,1.428215,1.4214275,1.0,1.0,-176.81921874999895,7.0,-183.81921874999895
2016-01-21,2016-01-21,6B,Bearish,1.4198,1.4133063,1.4228775,1.4126,1.0,1.0,405.8562500000029,7.0,398.8562500000029
2016-01-22,2016-01-22,6B,Bearish,1.4225,1.42641034875,1.4256975,1.4133075000000002,1.0,1.0,-244.39679687499049,7.0,-251.39679687499049
2016-01-24,2016-01-25,6B,Bearish,1.4269,1.430578932,1.429864,1.4168080000000003,1.0,1.0,-229.93324999999453,7.0,-236.93324999999453
2016-01-31,2016-02-01,6B,Bearish,1.424,1.4284658759999997,1.427752,1.413544,1.0,1.0,-279.1172499999883,7.0,-286.1172499999883
2016-02-04,2016-02-04,6B,Bearish,1.4587,1.4632132409999998,1.4624819999999998,1.446954,1.0,1.0,-282.0775624999827,7.0,-289.0775624999827
